0,1,2
1000000,2020,2020-12-24
19500000,2020,2020-12-15
1500000,2020,2020-12-14
1800000,2020,2020-12-10
1050000,2020,2020-12-09
1050000,2020,2020-11-26
480000,2020,2020-11-24
1400000,2020,2020-11-12
4200000,2020,2020-11-09
1400000,2020,2020-10-29
7300000,2020,2020-10-28
1800000,2020,2020-10-15
22000000,2020,2020-10-06
1200000,2020,2020-08-31
1300000,2020,2020-08-24
1200000,2020,2020-08-24
1500000,2020,2020-08-17
1600000,2020,2020-07-27
42000000,2020,2020-07-15
21000000,2020,2020-07-15
230000000,2020,2020-06-30
11000000,2020,2020-06-18
1500000,2020,2020-06-04
8000000,2020,2020-06-02
220000,2020,2020-06-02
1600000,2020,2020-05-13
1400000,2020,2020-05-13
100000,2020,2020-04-21
1600000,2020,2020-04-20
1500000,2020,2020-04-20
16500000,2020,2020-04-16
130000,2020,2020-04-15
1600000,2020,2020-04-15
1600000,2020,2020-04-06
330000,2020,2020-03-31
1500000,2020,2020-03-30
2000000,2020,2020-03-26
2100000,2020,2020-03-12
1200000,2020,2020-03-09
9000000,2020,2020-03-04
1500000,2020,2020-02-24
1400000,2020,2020-02-17
8200000,2020,2020-02-12
1200000,2020,2020-02-05
2900000,2020,2020-01-27
1700000,2020,2020-01-27
700000000,2020,2020-01-22
160000000,2020,2020-01-22
8200000,2020,2020-01-07
2200000,2019,2019-12-30
7900000,2019,2019-12-10
1500000,2019,2019-12-09
3200000,2019,2019-12-09
1400000,2019,2019-12-02
2700000,2019,2019-11-25
1600000,2019,2019-11-14
1100000,2019,2019-11-11
20000000,2019,2019-11-06
1700000,2019,2019-11-04
13600000,2019,2019-10-30
450000000,2019,2019-10-30
1500000,2019,2019-10-28
2400000,2019,2019-10-21
2000000,2019,2019-10-14
2300000,2019,2019-10-11
1050000,2019,2019-10-10
800000,2019,2019-10-10
4000000,2019,2019-09-23
3800000,2019,2019-09-11
1200000,2019,2019-09-09
350000,2019,2019-08-21
6800000,2019,2019-08-21
2100000,2019,2019-08-19
5000000,2019,2019-08-08
2600000,2019,2019-08-08
18000000,2019,2019-08-08
1900000,2019,2019-08-08
2500000,2019,2019-07-22
90000000,2019,2019-07-17
50000000,2019,2019-07-17
16000000,2019,2019-07-17
1500000,2019,2019-07-15
3100000,2019,2019-07-08
1800000,2019,2019-07-08
3200000,2019,2019-07-01
1900000,2019,2019-07-01
800000000,2019,2019-06-26
250000000,2019,2019-06-26
3600000,2019,2019-06-24
2300000,2019,2019-06-17
1700000,2019,2019-06-10
2500000,2019,2019-06-10
1600000,2019,2019-06-03
3500000,2019,2019-05-29
2400000,2019,2019-05-20
2100000,2019,2019-05-13
200000,2019,2019-05-07
2100000,2019,2019-05-06
7000000,2019,2019-04-24
1600000,2019,2019-03-25
1700000,2019,2019-03-06
3650000,2019,2019-02-20
320000,2019,2019-02-12
41000000,2019,2019-01-23
60000000,2019,2019-01-23
2000000,2019,2019-01-21
1200000,2019,2019-01-17
2300000,2019,2019-01-14
1300000,2018,2018-12-27
11000000,2018,2018-12-26
9500000,2018,2018-12-26
16000000,2018,2018-12-19
6000000,2018,2018-12-12
7000000,2018,2018-12-11
25000000,2018,2018-11-29
1300000,2018,2018-11-26
45000000,2018,2018-10-24
9000000,2018,2018-10-24
500000,2018,2018-10-23
2100000,2018,2018-10-15
2000000000,2018,2018-09-19
11000000,2018,2018-09-12
