,title,page,price
0,불편한 편의점(15만부 기념 윈터 에디션),268,"14,000"
1,미드나잇 라이브러리(25만부 기념 퍼플 에디션),408,"15,800"
2,달러구트 꿈 백화점(100만부 기념 합본호: Gift Edition),552,"24,000"
3,달러구트 꿈 백화점,300,"13,800"
4,달러구트 꿈 백화점. 2,308,"13,800"
5,"오늘 밤, 세계에서 이 사랑이 사라진다 해도(20만 부 기념 리커버 에디션)",376,"14,000"
6,밝은 밤(별밤 에디션),344,"14,500"
7,옷소매 붉은 끝동. 1,480,"12,000"
8,인간 실격,192,"8,000"
9,완전한 행복,524,"15,800"
10,아몬드,263,"12,000"
11,크리스마스 피그,336,"20,000"
12,므레모사,204,"14,000"
13,작별하지 않는다,332,"14,000"
14,듄. 1(DUNE),940,"25,000"
15,날마다 만우절,316,"14,000"
16,지구 끝의 온실,392,"15,000"
17,허상의 어릿광대,552,"18,800"
18,눈으로 만든 사람,392,"14,800"
19,소마,384,"15,000"
20,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),274,"15,000"
21,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,316,"14,800"
22,계절 산문,184,"14,800"
23,나는 당신이 행복했으면 좋겠습니다,216,"13,800"
24,오늘은 이만 좀 쉴게요(10만 부 기념 스페셜 에디션),228,"14,000"
25,이제는 오해하면 그대로 둔다,292,"15,000"
26,우리는 조구만 존재야 (New Year 에디션),250,"13,500"
27,아무런 대가 없이 건네는 다정,336,"16,500"
28,"그냥, 그렇다고",220,"16,000"
29,잘했고 잘하고 있고 잘 될 것이다,292,"15,000"
30,상대적이며 절대적인 지식의 백과사전,752,"17,800"
31,우리의 인생이 겨울을 지날 때,316,"16,000"
32,별게 다 영감,388,"16,000"
33,한 게으른 시인의 이야기,192,"13,000"
34,인생은 실전이다,440,"18,500"
35,어린이라는 세계,260,"15,000"
36,우리는 약속도 없이 사랑을 하고,240,"16,000"
37,"안녕, 소중한 사람(15만부 기념 러브레터 에디션)",336,"15,000"
38,나는 나로 살기로 했다,288,"13,800"
39,도치의 요모조모 내 맘 탐구일지,360,"22,000"
40,불편한 편의점(15만부 기념 윈터 에디션),268,"14,000"
41,달러구트 꿈 백화점(100만부 기념 합본호: Gift Edition),552,"24,000"
42,달러구트 꿈 백화점,300,"13,800"
43,달러구트 꿈 백화점. 2,308,"13,800"
44,밝은 밤(별밤 에디션),344,"14,500"
45,옷소매 붉은 끝동. 1,480,"12,000"
46,완전한 행복,524,"15,800"
47,아몬드,263,"12,000"
48,므레모사,204,"14,000"
49,작별하지 않는다,332,"14,000"
50,날마다 만우절,316,"14,000"
51,지구 끝의 온실,392,"15,000"
52,눈으로 만든 사람,392,"14,800"
53,소마,384,"15,000"
54,방금 떠나온 세계,324,"15,000"
55,우리가 빛의 속도로 갈 수 없다면,330,"14,000"
56,구의 증명,180,"8,000"
57,종의 기원,384,"13,000"
58,모순,308,"13,000"
59,"시선으로부터,",340,"14,000"
60,미드나잇 라이브러리(25만부 기념 퍼플 에디션),408,"15,800"
61,"오늘 밤, 세계에서 이 사랑이 사라진다 해도(20만 부 기념 리커버 에디션)",376,"14,000"
62,인간 실격,192,"8,000"
63,크리스마스 피그,336,"20,000"
64,듄. 1(DUNE),940,"25,000"
65,허상의 어릿광대,552,"18,800"
66,소문,528,"16,500"
67,나미야 잡화점의 기적,456,"14,800"
68,요리코를 위해,424,"15,000"
69,라이온의 간식,312,"14,800"
70,봉제인형 살인사건,400,"15,000"
71,백조와 박쥐,568,"18,000"
72,네가 마지막으로 남긴 노래,368,"14,000"
